title,text,source,date,preprocessed_tokens,preprocessed_text,llm_title,llm_category,llm_entities,llm_emotions,llm_severity,llm_summary,llm_keywords,cluster
कोरोना संकट,मुंबई: महाराष्ट्रात कोरोनाचा प्रादुर्भाव वाढत असताना राज्य सरकारने नवीन निर्बंध जाहीर केले आहेत. मुंबईत रुग्णसंख्या झपाट्याने वाढत आहे. रुग्णालयांमध्ये बेड्सची कमतरता जाणवत आहे. नागरिकांनी मास्क वापरणे अनिवार्य करण्यात आले आहे.,लोकमत,2023-01-15,"['मुंबई', 'महाराष्ट्रात', 'कोरोनाचा', 'प्रादुर्भाव', 'वाढत', 'असताना', 'राज्य', 'सरकारने', 'नवीन', 'निर्बंध', 'जाहीर', 'मुंबईत', 'रुग्णसंख्या', 'झपाट्याने', 'वाढत', 'रुग्णालयांमध्ये', 'बेड्सची', 'कमतरता', 'जाणवत', 'नागरिकांनी', 'मास्क', 'वापरणे', 'अनिवार्य', 'आले']",मुंबई महाराष्ट्रात कोरोनाचा प्रादुर्भाव वाढत असताना राज्य सरकारने नवीन निर्बंध जाहीर मुंबईत रुग्णसंख्या झपाट्याने वाढत रुग्णालयांमध्ये बेड्सची कमतरता जाणवत नागरिकांनी मास्क वापरणे अनिवार्य आले,,Other,[],neutral,low,,[],1
कोरोनाचा नवा प्रकार,मुंबई: कोरोना विषाणूच्या नव्या प्रकाराचा पहिला रुग्ण मुंबईत आढळला आहे. या नव्या प्रकारामुळे आरोग्य यंत्रणा सतर्क झाली आहे. विदेशातून आलेल्या प्रवाशांची तपासणी सुरू आहे. लसीकरण मोहिमेला वेग देण्यात येत आहे.,महाराष्ट्र टाइम्स,2023-01-20,"['मुंबई', 'कोरोना', 'विषाणूच्या', 'नव्या', 'प्रकाराचा', 'पहिला', 'रुग्ण', 'मुंबईत', 'आढळला', 'नव्या', 'प्रकारामुळे', 'आरोग्य', 'यंत्रणा', 'सतर्क', 'विदेशातून', 'आलेल्या', 'प्रवाशांची', 'तपासणी', 'सुरू', 'लसीकरण', 'मोहिमेला', 'वेग', 'देण्यात', 'येत']",मुंबई कोरोना विषाणूच्या नव्या प्रकाराचा पहिला रुग्ण मुंबईत आढळला नव्या प्रकारामुळे आरोग्य यंत्रणा सतर्क विदेशातून आलेल्या प्रवाशांची तपासणी सुरू लसीकरण मोहिमेला वेग देण्यात येत,Mumbai Reports First Case of New COVID-19 Variant,Health,"['Mumbai', 'COVID-19']",neutral,high,"The first case of a new COVID-19 variant has been reported in Mumbai, prompting health authorities to take precautions and conduct screenings for international travelers.","['COVID-19', 'Mumbai', 'variant']",2
पुण्यात पूरस्थिती,पुणे: पुण्यात मोठ्या प्रमाणात पाऊस झाल्याने अनेक भागात पूरस्थिती निर्माण झाली आहे. मुळा-मुठा नदीला पूर आल्याने नदीकाठच्या वस्त्यांना धोका निर्माण झाला आहे. प्रशासनाने नागरिकांना सतर्कतेचा इशारा दिला आहे.,सकाळ,2023-02-10,"['पुणे', 'पुण्यात', 'मोठ्या', 'प्रमाणात', 'पाऊस', 'झाल्याने', 'अनेक', 'भागात', 'पूरस्थिती', 'निर्माण', 'मुळा', 'मुठा', 'नदीला', 'पूर', 'आल्याने', 'नदीकाठच्या', 'वस्त्यांना', 'धोका', 'निर्माण', 'प्रशासनाने', 'नागरिकांना', 'सतर्कतेचा', 'इशारा', 'दिला']",पुणे पुण्यात मोठ्या प्रमाणात पाऊस झाल्याने अनेक भागात पूरस्थिती निर्माण मुळा मुठा नदीला पूर आल्याने नदीकाठच्या वस्त्यांना धोका निर्माण प्रशासनाने नागरिकांना सतर्कतेचा इशारा दिला,"Pune: Heavy Rains Cause Floods, Residents Warned to Be Vigilant",Environment,"['Pune', 'Mula-Mutha River']",neutral,medium,"Heavy rains in Pune have caused floods in several areas, with the Mula-Mutha River overflowing and posing a threat to nearby villages.","['heavy rains', 'floods', 'Pune']",4
पावसाचा तडाखा,पुणे: पुण्यात गेल्या २४ तासांत झालेल्या मुसळधार पावसामुळे अनेक रस्ते पाण्याखाली गेले आहेत. वाहतूक व्यवस्था विस्कळीत झाली आहे. शाळा-कॉलेजला सुट्टी जाहीर करण्यात आली आहे. हवामान खात्याने पुढील २४ तासांत अतिवृष्टीचा इशारा दिला आहे.,पुढारी,2023-02-12,"['पुणे', 'पुण्यात', 'गेल्या', '२४', 'तासांत', 'झालेल्या', 'मुसळधार', 'पावसामुळे', 'अनेक', 'रस्ते', 'पाण्याखाली', 'गेले', 'वाहतूक', 'व्यवस्था', 'विस्कळीत', 'शाळा', 'कॉलेजला', 'सुट्टी', 'जाहीर', 'आली', 'हवामान', 'खात्याने', 'पुढील', '२४', 'तासांत', 'अतिवृष्टीचा', 'इशारा', 'दिला']",पुणे पुण्यात गेल्या २४ तासांत झालेल्या मुसळधार पावसामुळे अनेक रस्ते पाण्याखाली गेले वाहतूक व्यवस्था विस्कळीत शाळा कॉलेजला सुट्टी जाहीर आली हवामान खात्याने पुढील २४ तासांत अतिवृष्टीचा इशारा दिला,Heavy Rains Cause Traffic Chaos in Pune,Weather (à¤¹à¤µà¤¾à¤®à¤¾à¤¨),"['Pune', 'Havamana Khata']",negative,high,"Heavy rains in the last 24 hours have caused traffic chaos and disruptions to schools and colleges in Pune, with the weather department warning of more heavy rain in the next 24 hours.","['Pune', 'heavy rain', 'traffic chaos']",4
परीक्षा वेळापत्रक,नागपूर: नागपूर विद्यापीठाने परीक्षांचे वेळापत्रक जाहीर केले आहे. परीक्षा मार्च महिन्यात होणार आहेत. विद्यार्थ्यांनी परीक्षेची तयारी सुरू करावी असे आवाहन विद्यापीठाने केले आहे. ऑनलाइन अर्ज भरण्याची प्रक्रिया सुरू झाली आहे.,लोकमत,2023-02-15,"['नागपूर', 'नागपूर', 'विद्यापीठाने', 'परीक्षांचे', 'वेळापत्रक', 'जाहीर', 'परीक्षा', 'मार्च', 'महिन्यात', 'होणार', 'विद्यार्थ्यांनी', 'परीक्षेची', 'तयारी', 'सुरू', 'करावी', 'आवाहन', 'विद्यापीठाने', 'ऑनलाइन', 'अर्ज', 'भरण्याची', 'प्रक्रिया', 'सुरू']",नागपूर नागपूर विद्यापीठाने परीक्षांचे वेळापत्रक जाहीर परीक्षा मार्च महिन्यात होणार विद्यार्थ्यांनी परीक्षेची तयारी सुरू करावी आवाहन विद्यापीठाने ऑनलाइन अर्ज भरण्याची प्रक्रिया सुरू,,Other,[],neutral,low,,[],3
शिक्षण क्षेत्रात बदल,नागपूर: राज्य सरकारने शिक्षण क्षेत्रात महत्त्वपूर्ण बदल केले आहेत. नवीन शैक्षणिक धोरणानुसार अभ्यासक्रमात बदल करण्यात आले आहेत. विद्यार्थ्यांना कौशल्य विकासावर भर देण्यात येणार आहे. शिक्षकांसाठी प्रशिक्षण कार्यक्रम आयोजित केले जाणार आहेत.,देशोन्नती,2023-02-18,"['नागपूर', 'राज्य', 'सरकारने', 'शिक्षण', 'क्षेत्रात', 'महत्त्वपूर्ण', 'बदल', 'नवीन', 'शैक्षणिक', 'धोरणानुसार', 'अभ्यासक्रमात', 'बदल', 'आले', 'विद्यार्थ्यांना', 'कौशल्य', 'विकासावर', 'भर', 'देण्यात', 'येणार', 'शिक्षकांसाठी', 'प्रशिक्षण', 'कार्यक्रम', 'आयोजित', 'जाणार']",नागपूर राज्य सरकारने शिक्षण क्षेत्रात महत्त्वपूर्ण बदल नवीन शैक्षणिक धोरणानुसार अभ्यासक्रमात बदल आले विद्यार्थ्यांना कौशल्य विकासावर भर देण्यात येणार शिक्षकांसाठी प्रशिक्षण कार्यक्रम आयोजित जाणार,,Other,[],neutral,low,,[],2
रस्ते दुरुस्ती,पुणे: पुण्यातील रस्त्यांची दुरुस्ती लवकरच होणार आहे. महापालिकेने रस्ते दुरुस्तीसाठी निधी मंजूर केला आहे. पावसाळ्यापूर्वी सर्व रस्त्यांची दुरुस्ती पूर्ण करण्याचे नियोजन आहे. नागरिकांनी रस्त्यांच्या दुरावस्थेबद्दल तक्रारी केल्या होत्या.,पुढारी,2023-03-05,"['पुणे', 'पुण्यातील', 'रस्त्यांची', 'दुरुस्ती', 'लवकरच', 'होणार', 'महापालिकेने', 'रस्ते', 'दुरुस्तीसाठी', 'निधी', 'मंजूर', 'पावसाळ्यापूर्वी', 'रस्त्यांची', 'दुरुस्ती', 'पूर्ण', 'करण्याचे', 'नियोजन', 'नागरिकांनी', 'रस्त्यांच्या', 'दुरावस्थेबद्दल', 'तक्रारी', 'केल्या', 'होत्या']",पुणे पुण्यातील रस्त्यांची दुरुस्ती लवकरच होणार महापालिकेने रस्ते दुरुस्तीसाठी निधी मंजूर पावसाळ्यापूर्वी रस्त्यांची दुरुस्ती पूर्ण करण्याचे नियोजन नागरिकांनी रस्त्यांच्या दुरावस्थेबद्दल तक्रारी केल्या होत्या,Pune Road Repair Plans Announced,Infrastructure (à¤µà¤¾à¤¹à¤¤à¥‚à¤•),"['Pune', 'Mahapalika']",neutral,low,The Pune Municipal Corporation has announced plans to repair roads in the city before the monsoon season. The move is expected to improve road conditions for citizens.,"['road repair', 'Pune', 'Mahapalika']",4
कृषी धोरण,मुंबई: राज्य सरकारने नवीन कृषी धोरण जाहीर केले आहे. शेतकऱ्यांना अधिक अनुदान देण्यात येणार आहे. शेतीसाठी आधुनिक तंत्रज्ञानाचा वापर वाढवण्यावर भर देण्यात येणार आहे. जैविक शेतीला प्रोत्साहन देण्यात येणार आहे.,अॅग्रोवन,2023-03-10,"['मुंबई', 'राज्य', 'सरकारने', 'नवीन', 'कृषी', 'धोरण', 'जाहीर', 'शेतकऱ्यांना', 'अधिक', 'अनुदान', 'देण्यात', 'येणार', 'शेतीसाठी', 'आधुनिक', 'तंत्रज्ञानाचा', 'वापर', 'वाढवण्यावर', 'भर', 'देण्यात', 'येणार', 'जैविक', 'शेतीला', 'प्रोत्साहन', 'देण्यात', 'येणार']",मुंबई राज्य सरकारने नवीन कृषी धोरण जाहीर शेतकऱ्यांना अधिक अनुदान देण्यात येणार शेतीसाठी आधुनिक तंत्रज्ञानाचा वापर वाढवण्यावर भर देण्यात येणार जैविक शेतीला प्रोत्साहन देण्यात येणार,,Other,[],neutral,low,,[],2
शेतकरी आंदोलन,नाशिक: शेतकऱ्यांनी कांद्याच्या भावावरून आंदोलन सुरू केले आहे. कांद्याला योग्य भाव मिळत नसल्याने शेतकरी रस्त्यावर उतरले आहेत. शासनाने तातडीने दखल घ्यावी अशी मागणी करण्यात येत आहे. शेतकरी संघटनांनी आंदोलन तीव्र करण्याचा इशारा दिला आहे.,लोकमत,2023-03-15,"['नाशिक', 'शेतकऱ्यांनी', 'कांद्याच्या', 'भावावरून', 'आंदोलन', 'सुरू', 'कांद्याला', 'योग्य', 'भाव', 'मिळत', 'नसल्याने', 'शेतकरी', 'रस्त्यावर', 'उतरले', 'शासनाने', 'तातडीने', 'दखल', 'घ्यावी', 'अशी', 'मागणी', 'येत', 'शेतकरी', 'संघटनांनी', 'आंदोलन', 'तीव्र', 'करण्याचा', 'इशारा', 'दिला']",नाशिक शेतकऱ्यांनी कांद्याच्या भावावरून आंदोलन सुरू कांद्याला योग्य भाव मिळत नसल्याने शेतकरी रस्त्यावर उतरले शासनाने तातडीने दखल घ्यावी अशी मागणी येत शेतकरी संघटनांनी आंदोलन तीव्र करण्याचा इशारा दिला,Farmers' Protest Over Onion Prices Intensifies in Nashik,Agriculture (à¤¶à¥‡à¤¤à¥€),"['farmers', 'Nashik']",negative,high,"Farmers in Nashik are protesting against the onion prices, which they claim are not justified. The government has been asked to take immediate action.","['onion', 'farmers', 'Nashik', 'protest']",0
कृषी उत्पन्न,नाशिक: राज्यात कृषी उत्पन्न वाढले आहे. चांगल्या पावसामुळे पिकांचे उत्पादन वाढले आहे. शेतकऱ्यांना चांगला भाव मिळत असल्याने त्यांच्या उत्पन्नात वाढ झाली आहे. कृषी विभागाने नवीन योजना जाहीर केल्या आहेत.,सकाळ,2023-03-20,"['नाशिक', 'राज्यात', 'कृषी', 'उत्पन्न', 'वाढले', 'चांगल्या', 'पावसामुळे', 'पिकांचे', 'उत्पादन', 'वाढले', 'शेतकऱ्यांना', 'चांगला', 'भाव', 'मिळत', 'असल्याने', 'उत्पन्नात', 'वाढ', 'कृषी', 'विभागाने', 'नवीन', 'योजना', 'जाहीर', 'केल्या']",नाशिक राज्यात कृषी उत्पन्न वाढले चांगल्या पावसामुळे पिकांचे उत्पादन वाढले शेतकऱ्यांना चांगला भाव मिळत असल्याने उत्पन्नात वाढ कृषी विभागाने नवीन योजना जाहीर केल्या,Agriculture Flourishes in Maharashtra Due to Good Rains,Agriculture (à¤¶à¥‡à¤¤à¥€),"['Maharashtra', 'Farmers']",positive,low,"Good rains have led to an increase in agricultural production in Maharashtra, benefiting farmers and the state's economy.","['Agriculture', 'Rainfall', 'Farmers', 'Maharashtra']",1
