title,text,source,date
कोरोना संकट,"मुंबई: महाराष्ट्रात कोरोनाचा प्रादुर्भाव वाढत असताना राज्य सरकारने नवीन निर्बंध जाहीर केले आहेत. मुंबईत रुग्णसंख्या झपाट्याने वाढत आहे. रुग्णालयांमध्ये बेड्सची कमतरता जाणवत आहे. नागरिकांनी मास्क वापरणे अनिवार्य करण्यात आले आहे.",लोकमत,2023-01-15
कोरोनाचा नवा प्रकार,"मुंबई: कोरोना विषाणूच्या नव्या प्रकाराचा पहिला रुग्ण मुंबईत आढळला आहे. या नव्या प्रकारामुळे आरोग्य यंत्रणा सतर्क झाली आहे. विदेशातून आलेल्या प्रवाशांची तपासणी सुरू आहे. लसीकरण मोहिमेला वेग देण्यात येत आहे.",महाराष्ट्र टाइम्स,2023-01-20
पुण्यात पूरस्थिती,"पुणे: पुण्यात मोठ्या प्रमाणात पाऊस झाल्याने अनेक भागात पूरस्थिती निर्माण झाली आहे. मुळा-मुठा नदीला पूर आल्याने नदीकाठच्या वस्त्यांना धोका निर्माण झाला आहे. प्रशासनाने नागरिकांना सतर्कतेचा इशारा दिला आहे.",सकाळ,2023-02-10
पावसाचा तडाखा,"पुणे: पुण्यात गेल्या २४ तासांत झालेल्या मुसळधार पावसामुळे अनेक रस्ते पाण्याखाली गेले आहेत. वाहतूक व्यवस्था विस्कळीत झाली आहे. शाळा-कॉलेजला सुट्टी जाहीर करण्यात आली आहे. हवामान खात्याने पुढील २४ तासांत अतिवृष्टीचा इशारा दिला आहे.",पुढारी,2023-02-12
परीक्षा वेळापत्रक,"नागपूर: नागपूर विद्यापीठाने परीक्षांचे वेळापत्रक जाहीर केले आहे. परीक्षा मार्च महिन्यात होणार आहेत. विद्यार्थ्यांनी परीक्षेची तयारी सुरू करावी असे आवाहन विद्यापीठाने केले आहे. ऑनलाइन अर्ज भरण्याची प्रक्रिया सुरू झाली आहे.",लोकमत,2023-02-15
शिक्षण क्षेत्रात बदल,"नागपूर: राज्य सरकारने शिक्षण क्षेत्रात महत्त्वपूर्ण बदल केले आहेत. नवीन शैक्षणिक धोरणानुसार अभ्यासक्रमात बदल करण्यात आले आहेत. विद्यार्थ्यांना कौशल्य विकासावर भर देण्यात येणार आहे. शिक्षकांसाठी प्रशिक्षण कार्यक्रम आयोजित केले जाणार आहेत.",देशोन्नती,2023-02-18
रस्ते दुरुस्ती,"पुणे: पुण्यातील रस्त्यांची दुरुस्ती लवकरच होणार आहे. महापालिकेने रस्ते दुरुस्तीसाठी निधी मंजूर केला आहे. पावसाळ्यापूर्वी सर्व रस्त्यांची दुरुस्ती पूर्ण करण्याचे नियोजन आहे. नागरिकांनी रस्त्यांच्या दुरावस्थेबद्दल तक्रारी केल्या होत्या.",पुढारी,2023-03-05
कृषी धोरण,"मुंबई: राज्य सरकारने नवीन कृषी धोरण जाहीर केले आहे. शेतकऱ्यांना अधिक अनुदान देण्यात येणार आहे. शेतीसाठी आधुनिक तंत्रज्ञानाचा वापर वाढवण्यावर भर देण्यात येणार आहे. जैविक शेतीला प्रोत्साहन देण्यात येणार आहे.",अॅग्रोवन,2023-03-10
शेतकरी आंदोलन,"नाशिक: शेतकऱ्यांनी कांद्याच्या भावावरून आंदोलन सुरू केले आहे. कांद्याला योग्य भाव मिळत नसल्याने शेतकरी रस्त्यावर उतरले आहेत. शासनाने तातडीने दखल घ्यावी अशी मागणी करण्यात येत आहे. शेतकरी संघटनांनी आंदोलन तीव्र करण्याचा इशारा दिला आहे.",लोकमत,2023-03-15
कृषी उत्पन्न,"नाशिक: राज्यात कृषी उत्पन्न वाढले आहे. चांगल्या पावसामुळे पिकांचे उत्पादन वाढले आहे. शेतकऱ्यांना चांगला भाव मिळत असल्याने त्यांच्या उत्पन्नात वाढ झाली आहे. कृषी विभागाने नवीन योजना जाहीर केल्या आहेत.",सकाळ,2023-03-20
